"","terms","apmis"
"actual","actual",5323.76208752143
"allow","allow",4066.40745035188
"account","account",3531.96386423112
"back","back",3412.88711374679
"activ","activ",3407.87820536576
"almost","almost",3347.4056774056
"address","address",3214.57787429497
"addit","addit",3076.82559101364
"appli","appli",3050.52858762056
"access","access",3013.53060129807
"app","app",2946.42546891256
"basic","basic",2921.56874522807
"accord","accord",2864.946157493
"assum","assum",2844.17220062767
"base","base",2803.94269404759
"avail","avail",2801.88216785555
"applic","applic",2791.85207866572
"appear","appear",2747.3986744081
"answer","answer",2703.41762430514
"attack","attack",2682.98608210968
"affect","affect",2639.62809111194
"android","android",2568.88304742432
"anonym","anonym",2524.17631858799
"advanc","advanc",2515.11373981258
"call","call",2514.20239416463
"altern","altern",2500.58645012531
"bit","bit",2390.47189395998
"build","build",2354.99978023035
"achiev","achiev",2353.3835101773
"automat","automat",2330.2193182617
"break.","break.",2319.97812616666
"attempt","attempt",2297.57221757158
"chang","chang",2252.22569414911
"case","case",2221.26848307602
"admin","admin",2214.26648833584
"check","check",2120.98357249109
"announc","announc",2119.3028576137
"action","action",2101.71192690192
"browser","browser",2046.36443500018
"block","block",2044.86585278693
"api","api",2041.96972137641
"appar","appar",2039.21177972887
"care","care",2027.08479692313
"close","close",1993.56293934649
"appreci","appreci",1992.34428372967
"associ","associ",1992.28426067816
"appropri","appropri",1990.71497351617
"buy","buy",1990.70901335459
"certain","certain",1983.52161604423
"algorithm","algorithm",1973.75395945942
"built","built",1967.9244200294
"bug","bug",1965.64599866599
"author","author",1946.72187131352
"clear","clear",1917.17396382472
"complet","complet",1895.85356256473
"code","code",1873.71941314659
"argument","argument",1851.06766950711
"accomplish","accomplish",1836.90048560986
"binari","binari",1834.25311923724
"box","box",1815.16819193768
"common","common",1789.52761856751
"autom","autom",1788.45610152651
"assign","assign",1771.12738016202
"card","card",1754.11353372434
"annoy","annoy",1750.76497780605
"agenc","agenc",1736.17535007158
"capabl","capabl",1729.11502608305
"compani","compani",1709.05500789938
"attach","attach",1708.41171696719
"client","client",1705.87531712782
"array","array",1696.66027301614
"compar","compar",1689.33796201315
"alert","alert",1688.62382833346
"administr","administr",1683.65249832516
"broken","broken",1682.01786551512
"clean","clean",1669.04258918677
"accur","accur",1666.70385314272
"certainli","certainli",1665.06945422591
"comput","comput",1659.37384793822
"aim","aim",1650.50516611381
"analyz","analyz",1641.18897774154
"comment","comment",1635.81667126924
"averag","averag",1631.00200842229
"approach","approach",1624.71867869376
