"","degree","frequency","ratio","terms"
"administr",5063,625,3.55367193326696,"administr"
"agenc",5105,654,3.36784259693515,"agenc"
"action",6159,876,2.87963693252704,"action"
"analyz",4325,632,2.76154138446803,"analyz"
"amount",3599,539,2.65685942024956,"amount"
"aim",4120,633,2.55071803841149,"aim"
"breach",7247,1117,2.53763095365773,"breach"
"access",14421,2304,2.39349823265921,"access"
"aspect",3736,598,2.38617633367808,"aspect"
"account",29354,4735,2.35585974846798,"account"
"address",23085,3746,2.33268191331828,"address"
"autom",6654,1083,2.32100947291198,"autom"
"applic",20869,3456,2.25451139248102,"applic"
"attempt",11989,1992,2.24196936057491,"attempt"
"advertis",3217,539,2.21039982109258,"advertis"
"attack",40774,6886,2.18068463876574,"attack"
"capabl",7315,1238,2.17276877016177,"capabl"
"admin",8709,1481,2.15498043944795,"admin"
"advis",4165,714,2.12527641584319,"advis"
"associ",8063,1393,2.09686148844896,"associ"
"alert",4817,833,2.09338808136896,"alert"
"accur",3738,647,2.09006270691664,"accur"
"brows",3668,636,2.08367580170659,"brows"
"allow",55876,9696,2.08083672160462,"allow"
"compromis",10715,1860,2.07955408187278,"compromis"
"addit",15610,2711,2.07783442689484,"addit"
"activ",19799,3448,2.06784748274372,"activ"
"certain",16810,2937,2.05610393691621,"certain"
"client",11538,2025,2.03988290123771,"client"
"appropri",6932,1222,2.02406478997597,"appropri"
"affect",13682,2413,2.02245993933985,"affect"
"accord",12617,2234,2.00834706889966,"accord"
"advanc",9972,1769,2.00164815666887,"advanc"
"compani",20570,3663,1.98812466996598,"compani"
"govern",3508,625,1.98635096683585,"govern"
"carri",6216,1109,1.98146858200338,"carri"
"backup",5645,1013,1.96099965231453,"backup"
"corrupt",3111,560,1.95016471507873,"corrupt"
"arbitrari",4386,790,1.94798608307128,"arbitrari"
"credenti",8515,1548,1.91569930937244,"credenti"
"cyber",9399,1726,1.88098442451318,"cyber"
"critic",9915,1821,1.88052564647201,"critic"
"complex",9323,1724,1.85719352771608,"complex"
"adapt",3348,621,1.84681930299923,"adapt"
"bare",2962,555,1.81257043524314,"bare"
"databas",6890,1293,1.80737712551526,"databas"
"appear",18853,3541,1.80454816198528,"appear"
"authent",3351,631,1.79599080608198,"authent"
"comput",20055,3778,1.79457098671774,"comput"
"advantag",3259,614,1.7942266395652,"advantag"
"employe",4847,920,1.76944474459422,"employe"
"algorithm",7040,1337,1.76758106869828,"algorithm"
"api",8217,1565,1.75810621830812,"api"
"concept",5416,1033,1.7533830724758,"concept"
"bank",3986,767,1.72433554934268,"bank"
"comfort",3346,645,1.71849335637102,"comfort"
"captur",3355,647,1.71715439763915,"captur"
"basic",42419,8190,1.71330770369496,"basic"
