"","terms","tdif","degree","frequency","ratio","apmis","agg"
"actual","actual",4.80349016344094,80391,17176,1.39900006538355,4.1097499062278,3.43741337835076
"http","http",9.75011008808458,35346,40316,-0.997150399479887,-1.01324271403934,3.25540080088134
"run","run",6.09957098456576,23258,21953,-0.882044724319674,-2.94161070667623,2.71971232230744
"enter","enter",8.5994524783967,42511,33944,-0.760501059093904,0.309799595353753,2.71625033821885
"allow","allow",2.71458236039167,55876,9696,2.08083672160462,3.17369399808277,2.65637102669302
"data","data",5.82830141646805,82865,20246,1.02889124496804,0.817503241687303,2.5582319677078
"back","back",3.94476806001075,55478,13923,0.960681605587587,2.68717129868811,2.53087365476215
"window","window",4.94009217368728,312,16723,-1.53769152024908,-3.76402722653262,2.38880929332361
"user","user",4.62641483608401,3989,16002,-1.39240918184784,-3.88395817097397,2.37265460840338
"call","call",4.04081182952111,50827,14113,0.719284918714576,2.01813241621481,2.2594097214835
"chang","chang",3.52320350837643,48990,12246,0.970672776924597,1.82310005971283,2.10565878167129
"basic","basic",2.23566544184191,42419,8190,1.71330770369496,2.32140220853912,2.09012511802533
"account","account",1.08994133113667,29354,4735,2.35585974846798,2.77581971379595,2.0738735978002
"attack","attack",1.86293570353244,40774,6886,2.18068463876574,2.14378588233247,2.06246874154355
"differ","differ",4.63781184373739,61431,16180,0.84231019464,0.630657276823197,2.0369264384002
"base","base",1.93483086347858,37022,7253,1.66606477297924,2.23383378758263,1.94490980801348
"mani","mani",4.32892902738319,39585,15266,0.0840322547930938,-1.32482747057346,1.91259625091658
"address","address",0.698451547659052,23085,3746,2.33268191331828,2.53953710723478,1.85689018940404
"find","find",5.13175229584623,52923,18392,0.263243517025451,0.00382251885093086,1.7996061105742
"free","free",5.79233901719013,34544,20976,-0.512017568357151,-0.11420395056312,1.79817513313203
"activ","activ",0.566490951849462,19799,3448,2.06784748274372,2.68344234414751,1.77259359291357
"check","check",2.96926636455548,34508,10560,0.509115067791034,1.72539495747371,1.73459212994008
"creat","creat",3.19198646509629,43550,11220,0.895690654998931,1.0959193523144,1.72786549080321
"app","app",1.29912924626632,25621,5335,1.47586088237269,2.33990715724187,1.7049657619603
"file","file",4.62825971978016,44364,15818,0.217352661263369,-0.243874305519468,1.69649556218767
"almost","almost",1.03910445109725,22146,4727,1.40188202197418,2.63842269304493,1.69313638870546
"applic","applic",0.575690435793709,20869,3456,2.25451139248102,2.22483275348553,1.68501152725342
"start","start",3.13648307678433,8657,11054,-1.05609405424224,-2.89305153863435,1.65781352039215
"access","access",0.0969349299496394,14421,2304,2.39349823265921,2.38986454697061,1.62676590319315
"avail","avail",1.28525005951252,24435,5398,1.30214515484853,2.2322997989537,1.60656500443825
"addit","addit",0.263528735669648,15610,2711,2.07783442689484,2.43698542069054,1.59278286108501
"appli","appli",1.06259450562765,21021,4759,1.23311996582155,2.41740823485536,1.57104090210152
"complet","complet",2.01694217241391,32008,7548,1.12192654427978,1.55779365417976,1.56555412362448
"assum","assum",0.89179438138162,20638,4321,1.45933879473456,2.26378322762352,1.53830546791323
"appear","appear",0.599390660705588,18853,3541,1.80454816198528,2.19173877151543,1.5318925314021
"read","read",3.4027535568,13785,11996,-0.825545659674986,-2.00616225139723,1.52779004950742
"updat","updat",2.91443876250268,3283,10132,-1.34532557622593,-3.01133804944913,1.52681707857529
"open","open",3.6140022153868,21326,12631,-0.485842274982423,-1.39722185753918,1.50846059931452
"accord","accord",0.0592115770788851,12617,2234,2.00834706889966,2.27924870131288,1.44893578243047
"build","build",1.03727733023294,21455,4656,1.35339560500534,1.89961171969853,1.43009488497893
"probabl","probabl",3.05202958240892,16781,10857,-0.57576602987167,-1.80606505654117,1.42744286969281
"prize","prize",3.9694906658208,6228,14099,-1.27117355599094,-1.57784278490796,1.42538663157927
"affect","affect",0.142187565295345,13682,2413,2.02245993933985,2.11150739666187,1.42538496709902
"administr","administr",-0.695071829680379,5063,625,3.55367193326696,1.39981749214543,1.41947253191067
"ticket","ticket",3.62115518039476,1609,12859,-1.47062087248664,-2.10144526887701,1.41732652559504
"contain","contain",1.57292376774769,29596,6141,1.48655355228713,1.14556867858767,1.40168199954083
"server","server",2.46441375003594,9808,8686,-0.838119291736362,-2.5137857545044,1.38002673760133
"agenc","agenc",-0.676709230406665,5105,654,3.36784259693515,1.43891889141376,1.37668408598075
"case","case",0.856518141634596,20114,4200,1.46742637768222,1.80005351463475,1.37466601131719
"possibl","possibl",2.7485130481422,18391,9822,-0.36990366082521,-1.73481802377159,1.37114247036286
"code","code",1.17237055593426,23570,5060,1.38493738556952,1.54131556540342,1.36620783563574
"requir","requir",2.48710760815426,12420,8951,-0.675351572619222,-2.26374544463015,1.3585004933884
"compani","compani",0.659619721180432,20570,3663,1.98812466996598,1.41872875907501,1.35549105007381
"attempt","attempt",-0.0416459019734467,11989,1992,2.24196936057491,1.85685893720741,1.35239413193629
"pretti","pretti",2.91637011559996,16208,10419,-0.569478614207633,-1.69541444061558,1.34743531400264
"certain","certain",0.358474603130008,16810,2937,2.05610393691621,1.62305940895503,1.34587931633375
"action","action",-0.562801627674738,6159,876,2.87963693252704,1.71104790121755,1.34262773535662
"bit","bit",0.87699973341566,18411,4199,1.21265341927136,1.9260194495859,1.33855753409097
"anonym","anonym",0.881765091529684,17276,4208,1.03683246409548,2.02555764900744,1.3147184015442
"close","close",1.84875591568165,22001,7031,0.4217654854415,1.63053481782124,1.30035207298146
"put","put",2.73612547492886,13416,9788,-0.685995568486473,-1.8338757541658,1.29466855353606
"android","android",0.674690118952123,15784,3684,1.1495687591065,2.05884022213676,1.29436636673179
"comput","comput",0.705158053781435,20055,3778,1.79457098671774,1.38174289849885,1.29382397966601
"advanc","advanc",-0.139392413551563,9972,1769,2.00164815666887,2.01881088070916,1.29368887460882
"connect","connect",1.28081782829276,23501,5272,1.25869389951591,1.2460084375099,1.26184005510619
"write","write",2.25515505431166,35,8196,-1.54675436711494,-3.07524013432674,1.26121360717449
"consid","consid",1.35710260606994,23354,5605,1.07533742244914,1.34479100553895,1.25907701135268
"automat","automat",0.34101226828769,14220,2903,1.53630116750614,1.88116354513695,1.25282566031026
"gener","gener",2.99781727543605,35150,10613,0.536941848878084,-0.196022673157883,1.24359393249067
"answer","answer",0.942412002014046,15370,4445,0.628815264661074,2.15899644045125,1.24340790237546
"common","common",0.740504390385291,18741,3906,1.47306788470968,1.47863776201894,1.23073667903797
"admin","admin",-0.267150097057475,8709,1481,2.15498043944795,1.79484077802761,1.22755704013936
"provid","provid",2.26582573220126,14176,8257,-0.467913462063802,-1.87475449671072,1.22422225561606
"depend","depend",1.70130312794807,26149,6570,0.957803438259143,0.914337696275444,1.19114808749422
"object","object",2.79408708920737,14417,9556,-0.599044724923172,-1.35540920886213,1.18348385771544
"browser","browser",0.711233497351297,16348,3802,1.15925036141682,1.66984365759042,1.18010917211951
"test","test",2.13626443682367,3483,7699,-1.2644564020671,-2.66792915253121,1.1799123957626
"clear","clear",0.797733941999386,17487,4060,1.16384943348756,1.57366593632949,1.17841643727215
"simpli","simpli",2.34420826655332,5847,8607,-1.12149861114671,-2.25219340309451,1.15830101950037
"key","key",2.89051821474206,22949,9843,-0.0807081336836946,-0.655987003316006,1.15526569479146
"client","client",-0.0166248755198528,11538,2025,2.03988290123771,1.41636159213196,1.14653987261661
"analyz","analyz",-0.691082081236579,4325,632,2.76154138446803,1.36820490795644,1.1462214037293
"associ","associ",-0.311202199351571,8063,1393,2.09686148844896,1.62958288692862,1.13841405867534
"detail","detail",2.15349516731451,24481,7976,0.384088443484685,0.85758202726334,1.13172187935418
"altern","altern",0.176730587270386,10794,2506,1.16392484675455,2.00799582906095,1.11621708769529
"autom","autom",-0.45939350879812,6654,1083,2.32100947291198,1.4778400556064,1.11315200657342
"long","long",2.51660626167859,21261,9089,-0.0758596378120194,-0.819249227879572,1.08666528391538
"appropri","appropri",-0.395502741650059,6932,1222,2.02406478997597,1.62841460832517,1.08565888555036
"built","built",0.0376871892713489,10833,2175,1.58815169169667,1.61144785001328,1.07909557699377
"aim","aim",-0.691941734454218,4120,633,2.55071803841149,1.37514047959984,1.07797226118571
"bug","bug",0.0211507139083367,10569,2116,1.59704148652444,1.60975164616163,1.07598128219813
"instal","instal",2.53043912447482,24276,8933,0.162490859396435,-0.530115181857426,1.07434838857623
"capabl","capabl",-0.387368014790442,7315,1238,2.17276877016177,1.43366273075112,1.07302116204082
"develop","develop",1.04057126023992,21456,4671,1.34420856809429,0.833245051202035,1.07267495984541
"block","block",0.265005052028988,12083,2688,1.28229356299286,1.66872801631223,1.07200887711136
"breach","breach",-0.441005493168325,7247,1117,2.53763095365773,1.11561424001765,1.07074656683568
"websit","websit",1.72441687569603,276,6565,-1.52296060080396,-3.00583507106533,1.06909711531913
"care","care",0.23156522305183,11990,2641,1.3105048989814,1.65549065121066,1.0658535910813
"api","api",-0.228848904492117,8217,1565,1.75810621830812,1.66657194925092,1.06527642102231
"achiev","achiev",-0.235448836490767,7631,1564,1.52419035306478,1.89840846399994,1.06238332685798
"amount","amount",-0.743226548978153,3599,539,2.65685942024956,1.26559838053504,1.05974375060215
"learn","learn",2.40702794431124,21170,8599,0.00144364582266364,-0.716642398796705,1.04170466297687
"compromis","compromis",-0.0974423829689328,10715,1860,2.07955408187278,1.12440480064802,1.03550549985062
"devic","devic",1.32736802241572,22696,5394,1.10116620744842,0.651961662552919,1.02683196413902
"author","author",-0.153647735504965,8766,1740,1.62421102205862,1.59566330490044,1.0220755304847
"algorithm","algorithm",-0.333228853890475,7040,1337,1.76758106869828,1.61578773524846,1.01671331668542
"understand","understand",1.68386257020109,1664,6515,-1.38854804688984,-2.74371666249042,1.01301039526722
"compar","compar",0.422423208521607,13362,3096,1.16936064283386,1.40405011810342,0.998611323152962
"complex","complex",-0.161155362063722,9323,1724,1.85719352771608,1.29345476394206,0.996497643198137
"type","type",1.68934678234752,1995,6455,-1.35474975857034,-2.60418557966794,0.979594201148376
"aspect","aspect",-0.710978477919563,3736,598,2.38617633367808,1.25950429654475,0.978234050767755
"alert","alert",-0.580808549158282,4817,833,2.09338808136896,1.40351847092106,0.972032667710581
"tool","tool",1.57388860237403,2600,6106,-1.28120414449496,-2.61078079931345,0.967821752397507
"email","email",1.82955936215359,24844,6814,0.747375486745336,0.312097191652749,0.963010680183891
"control","control",0.111171445399667,11560,2326,1.58135813761486,1.18549122131441,0.959340268109647
"custom","custom",0.465586351163096,14600,3182,1.34097080249081,1.070168797167,0.958908650273638
"time","time",1.60480163435419,2464,6290,-1.30267150835398,-2.5724024327466,0.958177519582272
"second","second",1.87295496487387,6079,7054,-1.00656398326077,-1.96676369393364,0.944384891848912
"critic","critic",-0.115136296282004,9915,1821,1.88052564647201,1.05134154257012,0.938910297586707
"accur","accur",-0.68433808755102,3738,647,2.09006270691664,1.38719982725671,0.930974815540778
"variabl","variabl",1.84300223274706,416,6752,-1.51063228135745,-2.46014354101028,0.930837830799963
"backup","backup",-0.489627391725321,5645,1013,1.96099965231453,1.31867831202293,0.930016857537379
"advis","advis",-0.649711333155568,4165,714,2.12527641584319,1.30190095740368,0.925822013363769
"configur","configur",-0.0438086849118077,10060,1980,1.65122150987386,1.16809993252378,0.925170919161945
"command","command",0.496016428498425,13020,3261,0.965727865721618,1.3123141871441,0.924686160454716
"certainli","certainli",-0.207023395316951,8126,1629,1.59296877679579,1.38598307526239,0.923976152247077
"carri","carri",-0.449566242816498,6216,1109,1.98146858200338,1.23082026901937,0.920907536068751
"content","content",0.278333788840006,12261,2728,1.28187639342936,1.1990551928393,0.919755125036222
"collect","collect",-0.00151092492178371,9755,2077,1.40923787444916,1.35011810322902,0.919281684252133
"simpl","simpl",1.69128535359465,5416,6571,-1.03022050291848,-2.0933124629113,0.918125771195824
"binari","binari",-0.0624700240154921,8662,1915,1.29997878153489,1.51193431011208,0.916481022543825
