"","tdif","terms"
"http",9.75011008808458,"http"
"enter",8.5994524783967,"enter"
"run",6.09957098456576,"run"
"data",5.82830141646805,"data"
"free",5.79233901719013,"free"
"find",5.13175229584623,"find"
"window",4.94009217368728,"window"
"actual",4.80349016344094,"actual"
"differ",4.63781184373739,"differ"
"file",4.62825971978016,"file"
"user",4.62641483608401,"user"
"mani",4.32892902738319,"mani"
"call",4.04081182952111,"call"
"prize",3.9694906658208,"prize"
"back",3.94476806001075,"back"
"ticket",3.62115518039476,"ticket"
"open",3.6140022153868,"open"
"chang",3.52320350837643,"chang"
"read",3.4027535568,"read"
"creat",3.19198646509629,"creat"
"start",3.13648307678433,"start"
"probabl",3.05202958240892,"probabl"
"gener",2.99781727543605,"gener"
"check",2.96926636455548,"check"
"pretti",2.91637011559996,"pretti"
"updat",2.91443876250268,"updat"
"key",2.89051821474206,"key"
"object",2.79408708920737,"object"
"possibl",2.7485130481422,"possibl"
"put",2.73612547492886,"put"
"allow",2.71458236039167,"allow"
"instal",2.53043912447482,"instal"
"long",2.51660626167859,"long"
"requir",2.48710760815426,"requir"
"server",2.46441375003594,"server"
"learn",2.40702794431124,"learn"
"simpli",2.34420826655332,"simpli"
"left",2.30375509234693,"left"
"provid",2.26582573220126,"provid"
"write",2.25515505431166,"write"
"basic",2.23566544184191,"basic"
"detail",2.15349516731451,"detail"
"test",2.13626443682367,"test"
"complet",2.01694217241391,"complet"
"base",1.93483086347858,"base"
"full",1.92665569312634,"full"
"live",1.88821386993396,"live"
"least",1.88499890344252,"least"
"second",1.87295496487387,"second"
"attack",1.86293570353244,"attack"
"close",1.84875591568165,"close"
"variabl",1.84300223274706,"variabl"
"email",1.82955936215359,"email"
"link",1.81250231003028,"link"
"interest",1.80715594417738,"interest"
"name",1.78154639289623,"name"
"hard",1.76081849007484,"hard"
"string",1.7595651842192,"string"
"hack",1.74411893315482,"hack"
"remov",1.73962575303645,"remov"
"websit",1.72441687569603,"websit"
"send",1.723959286897,"send"
"local",1.72021722204274,"local"
"depend",1.70130312794807,"depend"
"simpl",1.69128535359465,"simpl"
"type",1.68934678234752,"type"
"understand",1.68386257020109,"understand"
"issu",1.68188473966412,"issu"
"final",1.68017431475358,"final"
"real",1.67531420146254,"real"
"singl",1.63683233726945,"singl"
"time",1.60480163435419,"time"
"linux",1.58963386792119,"linux"
"method",1.58004414449648,"method"
"tool",1.57388860237403,"tool"
"contain",1.57292376774769,"contain"
"sign",1.56550602428862,"sign"
"person",1.54835254098011,"person"
"miss",1.50072693075253,"miss"
"exist",1.50046263821979,"exist"
"point",1.48009804971772,"point"
"return",1.41279251763066,"return"
"function.",1.41265311991802,"function."
"usual",1.40062255167824,"usual"
"consid",1.35710260606994,"consid"
"password",1.34895742879019,"password"
"origin",1.33746346273534,"origin"
"retweet",1.32750712983861,"retweet"
"devic",1.32736802241572,"devic"
"friend",1.30042217882454,"friend"
"app",1.29912924626632,"app"
"similar",1.29553729138389,"similar"
"true",1.29202566691187,"true"
"avail",1.28525005951252,"avail"
"connect",1.28081782829276,"connect"
"system",1.26774567774776,"system"
"fix",1.26422325883553,"fix"
"quit",1.24465424258072,"quit"
"top",1.24134362815882,"top"
"post",1.21186937975159,"post"
"save",1.20374977999313,"save"
"valu",1.187314288685,"valu"
"pass",1.18501771401821,"pass"
"code",1.17237055593426,"code"
"exactli",1.16989103778221,"exactli"
"result",1.15552355268739,"result"
"public",1.14992224134454,"public"
"implement",1.12265663637906,"implement"
"suggest",1.12044967907206,"suggest"
"talk",1.11130627203037,"talk"
"recent",1.10626368433739,"recent"
"import",1.10313188951016,"import"
"multipl",1.09957223982681,"multipl"
"winner",1.09471575863751,"winner"
"rememb",1.09365560658724,"rememb"
"account",1.08994133113667,"account"
"leak",1.08733720019933,"leak"
"other",1.08732380928336,"other"
"support",1.08674893644529,"support"
"appli",1.06259450562765,"appli"
"switch",1.05758526005095,"switch"
"stop",1.04264091248053,"stop"
"develop",1.04057126023992,"develop"
"almost",1.03910445109725,"almost"
"build",1.03727733023294,"build"
"recommend",1.014474836249,"recommend"
"store",1.00740684349511,"store"
"oper",0.985796192639427,"oper"
"copi",0.979933773259135,"copi"
"entir",0.973542861750534,"entir"
"featur",0.966993117290187,"featur"
"game",0.96376890031639,"game"
"intern",0.950556580945098,"intern"
"correct",0.9474612497633,"correct"
"answer",0.942412002014046,"answer"
"definit",0.934049002103096,"definit"
"delet",0.920232874872164,"delet"
"site",0.910747327402891,"site"
"handl",0.903057464987684,"handl"
"assum",0.89179438138162,"assum"
"hope",0.889030555501362,"hope"
"encrypt",0.884910378930013,"encrypt"
"anonym",0.881765091529684,"anonym"
"fail",0.879182996442951,"fail"
"bit",0.87699973341566,"bit"
"mention",0.864459482593027,"mention"
"case",0.856518141634596,"case"
"list",0.843759809847863,"list"
"servic",0.843738524083938,"servic"
"product",0.835316942890254,"product"
"privat",0.817559270700749,"privat"
"special",0.811671121699829,"special"
"high",0.808964260918637,"high"
"readi",0.799873132456364,"readi"
"clear",0.797733941999386,"clear"
"sever",0.794377298580182,"sever"
"execut",0.781372818473656,"execut"
"program",0.776112076682922,"program"
"option",0.769920644914807,"option"
"main",0.76326003445658,"main"
"script",0.762946247172896,"script"
"number",0.753342506006313,"number"
"log",0.751814028904683,"log"
"microsoft",0.74876909574762,"microsoft"
"click",0.742376547333147,"click"
"common",0.740504390385291,"common"
"problem",0.738705131294584,"problem"
"remot",0.729894439259619,"remot"
"librari",0.727723150029807,"librari"
"total",0.726412905031774,"total"
"hit",0.726173303986575,"hit"
"browser",0.711233497351297,"browser"
"exploit",0.708473538067563,"exploit"
"share",0.70718749905402,"share"
"comput",0.705158053781435,"comput"
"address",0.698451547659052,"address"
"card",0.685192126971679,"card"
"hacker",0.684114375356587,"hacker"
"replac",0.683268013109586,"replac"
"android",0.674690118952123,"android"
"especi",0.664888938525396,"especi"
"month",0.664334083814435,"month"
"compani",0.659619721180432,"compani"
"standard",0.648992872738101,"standard"
"comment",0.637751075337928,"comment"
"announc",0.620788064841645,"announc"
"sound",0.620502707541305,"sound"
"element",0.612132029657326,"element"
"explain",0.607926622092362,"explain"
"reason",0.606672851485076,"reason"
"appear",0.599390660705588,"appear"
"huge",0.597950929365102,"huge"
"voucher",0.593465874681651,"voucher"
"manag",0.58982836276952,"manag"
"lock",0.582096646794336,"lock"
"easili",0.578489851940114,"easili"
"break.",0.578098640275373,"break."
"question",0.577365172380742,"question"
"contest",0.576985120525622,"contest"
"applic",0.575690435793709,"applic"
"activ",0.566490951849462,"activ"
"googl",0.564210378202577,"googl"
"pleas",0.564025553849217,"pleas"
"due",0.563751456259293,"due"
"refer",0.54911531459008,"refer"
"directli",0.548930513033115,"directli"
"network",0.546946677662904,"network"
"relat",0.543484918859826,"relat"
"safe",0.543413051027169,"safe"
"separ",0.542601459489205,"separ"
"select",0.540031182507268,"select"
"buy",0.534836336023033,"buy"
"vulner",0.532244465197431,"vulner"
"limit",0.525994472217239,"limit"
"charact",0.521900742347905,"charact"
"git",0.518744737270789,"git"
"minut",0.518407440377076,"minut"
"defin",0.515727940296398,"defin"
"releas",0.51530838489691,"releas"
"static",0.507951722887972,"static"
"rule",0.501399744051661,"rule"
"version",0.499081361671454,"version"
"extra",0.49744438546915,"extra"
"command",0.496016428498425,"command"
"host",0.49590933406384,"host"
"offer",0.479684960825939,"offer"
"laptop",0.476179798871281,"laptop"
"design",0.475511504915905,"design"
"custom",0.465586351163096,"custom"
"web",0.460646674500342,"web"
"technic",0.44858852151599,"technic"
"prefer",0.437934102887489,"prefer"
