,percentile,score,diffed
0,0,-1.2894514223892901,0.0
1,5,-1.162939108749804,0.1
2,10,-1.051182078307488,0.1
3,15,-0.9366787261432709,0.1
4,20,-0.835521388018808,0.1
5,25,-0.734555507412508,0.1
6,30,-0.6473703438824581,0.1
7,35,-0.5427393215111717,0.1
8,40,-0.443825383162363,0.1
9,45,-0.31200295799755373,0.1
10,50,-0.211344727467288,0.1
11,55,-0.10052871230707673,0.1
12,60,0.016156530526022,0.1
13,65,0.14125801215562783,0.1
14,70,0.2774352389106399,0.1
15,75,0.47233607546712103,0.2
16,80,0.6852047791802204,0.2
17,85,1.0143346334375036,0.3
18,90,1.3214392124806702,0.3
19,95,2.0237454873006246,0.7
20,100,5.22021652351036,3.2
