,percentile,score,diffed
0,0,-1.5494444995566699,0.0
1,5,-1.40033564644446,0.1
2,10,-1.288871083010132,0.1
3,15,-1.1419907025480882,0.1
4,20,-1.010212149499606,0.1
5,25,-0.8621718551946079,0.1
6,30,-0.69222724874815,0.2
7,35,-0.5282619416869799,0.2
8,40,-0.3842685285472013,0.1
9,45,-0.2248727432681693,0.2
10,50,-0.10691185397270098,0.1
11,55,0.06062076918987107,0.2
12,60,0.2182947037402304,0.2
13,65,0.3802721096211557,0.2
14,70,0.5493721007428793,0.2
15,75,0.738096053959887,0.2
16,80,0.9690099653111272,0.2
17,85,1.1665077624316218,0.2
18,90,1.3829928692183842,0.2
19,95,1.6989762620067048,0.3
20,100,3.5536719332669597,1.9
