,percentile,score,diffed
0,0,-0.7565270286654301,0.0
1,5,-0.7260899144814561,0.0
2,10,-0.6971324835576662,0.0
3,15,-0.6664636146545926,0.0
4,20,-0.637894371203659,0.0
5,25,-0.608109745508141,0.0
6,30,-0.5652117270368638,0.0
7,35,-0.5194381438679401,0.0
8,40,-0.4630737147317812,0.1
9,45,-0.41472148819166044,0.0
10,50,-0.34837559228998805,0.1
11,55,-0.27350031289776777,0.1
12,60,-0.1866676922289771,0.1
13,65,-0.06272101206822336,0.1
14,70,0.04414658238690944,0.1
15,75,0.214892090470982,0.2
16,80,0.4534117827097319,0.2
17,85,0.7082163302648544,0.3
18,90,1.0906841862267844,0.4
19,95,1.7533866837934466,0.7
20,100,9.750110088084579,8.0
